registro_id,data,turno,lab_id,codigo_disciplina,disciplina,curso,docente,finalidade,participantes_previstos,presenca_real,reserva_confirmada
U0001,2026-02-02,Tarde,LAB01,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Aula prática,22,21,Sim
U0002,2026-02-02,Manhã,LAB02,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Avaliação prática,21,20,Sim
U0003,2026-02-02,Tarde,LAB02,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Projeto,32,34,Sim
U0004,2026-02-02,Manhã,LAB03,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Monitoria,18,20,Sim
U0005,2026-02-02,Tarde,LAB03,DCA0702,Projetos Integradores,EC,Prof. Ana Lima,Projeto,23,20,Sim
U0006,2026-02-02,Noite,LAB03,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Avaliação prática,21,17,Sim
U0007,2026-02-02,Tarde,LAB04,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Aula regular,16,17,Sim
U0008,2026-02-02,Noite,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Aula regular,24,24,Sim
U0009,2026-02-02,Manhã,LAB05,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Monitoria,20,21,Sim
U0010,2026-02-02,Tarde,LAB05,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula regular,21,18,Sim
U0011,2026-02-02,Noite,LAB05,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Aula prática,14,13,Sim
U0012,2026-02-02,Noite,LAB06,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Projeto,13,14,Não
U0013,2026-02-02,Noite,LAB07,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Projeto,12,12,Não
U0014,2026-02-02,Manhã,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Aula prática,30,32,Sim
U0015,2026-02-02,Tarde,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Projeto,27,24,Não
U0016,2026-02-02,Noite,LAB08,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Monitoria,14,11,Sim
U0017,2026-02-03,Manhã,LAB01,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Monitoria,20,23,Sim
U0018,2026-02-03,Tarde,LAB01,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Monitoria,24,23,Sim
U0019,2026-02-03,Noite,LAB01,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Monitoria,31,27,Não
U0020,2026-02-03,Manhã,LAB02,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Aula regular,24,23,Sim
U0021,2026-02-03,Tarde,LAB02,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Projeto,17,15,Sim
U0022,2026-02-03,Noite,LAB02,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Aula regular,28,27,Sim
U0023,2026-02-03,Manhã,LAB03,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Projeto,24,27,Sim
U0024,2026-02-03,Tarde,LAB03,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Avaliação prática,23,19,Sim
U0025,2026-02-03,Manhã,LAB04,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula prática,22,18,Sim
U0026,2026-02-03,Noite,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Avaliação prática,16,19,Sim
U0027,2026-02-03,Noite,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Aula regular,22,24,Sim
U0028,2026-02-03,Manhã,LAB06,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Projeto,15,17,Sim
U0029,2026-02-03,Manhã,LAB07,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Aula regular,14,11,Sim
U0030,2026-02-03,Tarde,LAB07,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Projeto,15,13,Sim
U0031,2026-02-03,Manhã,LAB08,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Aula prática,17,13,Sim
U0032,2026-02-04,Manhã,LAB01,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Aula prática,30,29,Sim
U0033,2026-02-04,Tarde,LAB01,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Projeto,23,26,Não
U0034,2026-02-04,Noite,LAB01,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Avaliação prática,21,17,Sim
U0035,2026-02-04,Tarde,LAB02,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Avaliação prática,30,28,Sim
U0036,2026-02-04,Manhã,LAB03,DCA0101,Algoritmos,EC,Prof. Ana Lima,Avaliação prática,20,22,Sim
U0037,2026-02-04,Tarde,LAB03,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Avaliação prática,15,17,Sim
U0038,2026-02-04,Manhã,LAB04,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Projeto,17,16,Sim
U0039,2026-02-04,Noite,LAB04,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Projeto,26,23,Sim
U0040,2026-02-04,Manhã,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Monitoria,18,18,Sim
U0041,2026-02-04,Noite,LAB05,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Avaliação prática,17,17,Sim
U0042,2026-02-04,Tarde,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Aula prática,11,9,Sim
U0043,2026-02-04,Manhã,LAB07,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula regular,18,17,Sim
U0044,2026-02-04,Tarde,LAB07,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Monitoria,9,6,Sim
U0045,2026-02-04,Noite,LAB07,DCA0702,Projetos Integradores,EC,Prof. Bruno Costa,Projeto,11,11,Não
U0046,2026-02-04,Manhã,LAB08,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Aula prática,16,14,Sim
U0047,2026-02-04,Noite,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Aula prática,15,15,Sim
U0048,2026-02-05,Manhã,LAB01,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Projeto,18,19,Sim
U0049,2026-02-05,Noite,LAB01,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Aula regular,20,22,Sim
U0050,2026-02-05,Tarde,LAB02,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula prática,22,22,Não
U0051,2026-02-05,Tarde,LAB03,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula regular,27,28,Sim
U0052,2026-02-05,Noite,LAB03,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Aula prática,25,26,Sim
U0053,2026-02-05,Manhã,LAB04,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Aula prática,18,19,Sim
U0054,2026-02-05,Tarde,LAB04,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Projeto,12,9,Sim
U0055,2026-02-05,Manhã,LAB05,DCA0520,Ciência de Dados,EC,Prof. Diego Alves,Avaliação prática,18,15,Sim
U0056,2026-02-05,Tarde,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Elisa Moura,Avaliação prática,16,12,Sim
U0057,2026-02-05,Noite,LAB05,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Monitoria,20,21,Sim
U0058,2026-02-05,Tarde,LAB06,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Projeto,20,22,Sim
U0059,2026-02-05,Noite,LAB06,DCA0203,Estruturas de Dados,EC,Prof. Bruno Costa,Avaliação prática,16,18,Sim
U0060,2026-02-05,Manhã,LAB07,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula regular,9,9,Não
U0061,2026-02-05,Manhã,LAB08,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Projeto,28,27,Sim
U0062,2026-02-05,Noite,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Monitoria,24,21,Sim
U0063,2026-02-06,Tarde,LAB01,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Aula prática,22,25,Não
U0064,2026-02-06,Noite,LAB01,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Projeto,33,32,Não
U0065,2026-02-06,Manhã,LAB02,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Aula regular,15,12,Sim
U0066,2026-02-06,Manhã,LAB03,DCA0520,Ciência de Dados,EC,Prof. Diego Alves,Aula regular,20,17,Não
U0067,2026-02-06,Noite,LAB05,DCA0702,Projetos Integradores,EC,Prof. Bruno Costa,Projeto,18,21,Não
U0068,2026-02-06,Manhã,LAB06,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Projeto,20,20,Sim
U0069,2026-02-06,Tarde,LAB06,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Monitoria,21,21,Sim
U0070,2026-02-06,Noite,LAB06,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Aula regular,11,9,Não
U0071,2026-02-06,Noite,LAB07,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Aula prática,14,17,Sim
